Scene No,Character1,Narrative,Character2
91,Hermione,Of course not. I don't know how that got there. Now go. I still have six hundred pages to read in Transformation Through the Ages.,Ron
92,RON,"I know Hermione's mental, but can you believe she falls for that smarmy nonsense of Lockhart's?",HARRY
92,HARRY,"Looks like Myrtle's flooded the
bathroom.",RON
92,RON,Yuck,HARRY
93,MOANING MYRTLE,"Come to throw something else at
me",HARRY
93,HARRY,"Why would I throw something at
you?",MOANING MYRTLE
93,MOANING MYRTLE,"Don't ask me. Here I am, minding my own business, and someone thinks it's funny to throw a book at me...",HARRY
93,RON,"But it can't hurt if someone throws something at you. I mean, it'd just go right through you, wouldn't it?",MOANING MYRTLE
93,MOANING MYRTLE,"Oh sure! Let's all throw books at Myrtle, because she can't feel it! Ten points if you can get it through her stomach. Fifty points if it goes through her head!",Harry
93,MOANING MYRTLE,"Oh sure! Let's all throw books at Myrtle, because she can't feel it! Ten points if you can get it through her stomach. Fifty points if it goes through her head!",Ron
93,HARRY,Who threw it at you anyway?,MOANING MYRTLE
93,MOANING MYRTLE,"I don't know. I didn't see them. I was just sitting in the U-bend, thinking about death and it fell through the top of my head.",HARRY
93,MOANING MYRTLE,"I don't know. I didn't see them. I was just sitting in the U-bend, thinking about death and it fell through the top of my head.",RON
93,RON,Fifty points if you can get it through her nose.,HARRY
93,MOANING MYRTLE,I HEARD THAT!,HARRY
93,MOANING MYRTLE,I HEARD THAT!,RON
94,HARRY,This is a diary. And it's old...,RON
94,RON,"It's a diary, it's old... and was most recently in a toilet, Harry.",HARRY
94,RON,"Are you mad? That could be
cursed. Dad once told me about a book the Ministry confiscated that burned the eyes out of anyone who tried to read it.",HARRY
94,HARRY,I'll take my chances...,RON
94,HARRY,Ahhh! MY EYES! MY EYES!,RON
94,HARRY,inny! I was only joking -- Brilliant. Even your sister thinks I'm the monster now.,RON
94,RON,Who doesn't?,HARRY
94,RON,Tin Marvolo Riddle? Hang on. I know that name...,HARRY
94,RON,"Of course! The night I had
detention... My job was to polish the silver in the trophy room. I remember because I kept burping slugs all over Tom Riddle's trophy. I must have wiped slime off his name for an hour.",HARRY
94,HARRY,That's odd. He never wrote in it.,RON
95,HERMIONE,Tom Riddle... Hm. And Ron said he won an award fifty years ago?,HARRY
95,HARRY,Special Services to the School or something --,HERMIONE
95,HERMIONE,Fifty years ago? You're sure?,HARRY
95,HARRY,Yes. Why?,HERMIONE
95,HERMIONE,Don't you remember what Malfoy told you? The last time the Chamber of Secrets was opened was --,HARRY
95,HARRY,Fifty years ago! That means --,HERMIONE
95,HERMIONE,"Tom Riddle was here, at Hogwarts, when it happened. What if he
wrote about what he saw? It's possible he knew where the Chamber was, how to open it, even what sort of creature lives in it. If so, whoever's behind the attacks this time wouldn't want a diary like this lying around, would they?",HARRY
95,HARRY,"That's a brilliant theory, Hermione. With just one tiny little flaw. There's nothing written in this diary.",HERMIONE
95,HERMIONE,It might be invisible ink.,HARRY
95,HERMIONE,Aparecium!,HARRY
95,HERMIONE,"I don't know, Harry. But I think you should be careful with this. Something tells me Ron might be right. It could be dangerous.",HARRY
95,HARRY,"You don't think I'm dangerous, do you, Hermione? I mean, you're not scared. Of me.",HERMIONE
95,HERMIONE,"I'm scared, Harry. But not of you.",HARRY
96,HARRY,Do... you... know... anything... about... the... Chamber... of... Secrets?,TOM RIDDLE
96,HARRY,Can... you... tell... me?,TOM RIDDLE
96,HARRY,Excuse me. Could you tell me where I am? Hello...?,TOM RIDDLE
96,TOM RIDDLE,Professor Dumbledore.,DUMBLEDORE
96,DUMBLEDORE,"It's not wise to be wandering around this late, Tom.",TOM RIDDLE
97,TOM RIDDLE,"Yes, Professor. I suppose I -- I just had to see for myself, if...",DUMBLEDORE
97,TOM RIDDLE,... the rumors were true.,DUMBLEDORE
97,DUMBLEDORE,"I'm afraid they are, Tom.",TOM RIDDLE
97,TOM RIDDLE," About the school as well? They wouldn't really close Hogwarts, would they, Professor?",DUMBLEDORE
97,DUMBLEDORE,"Headmaster Dippet may have no choice, I'm afraid.",TOM RIDDLE
97,TOM RIDDLE,Sir? If it all stopped. If the person responsible was caught...,DUMBLEDORE
97,DUMBLEDORE,"Is there something you wish to tell me, Tom?",TOM RIDDLE
97,TOM RIDDLE,"No, sir. Nothing.
Dumbledore studies Riddle for a moment.",DUMBLEDORE
97,DUMBLEDORE,Very well then. Hurry along.,TOM RIDDLE
100,TOM RIDDLE,"Evening, Hagrid.",YOUNG HAGRID
100,TOM RIDDLE,"I'm going to have to turn you in, Hagrid. I don't think you meant it to kill anyone --",YOUNG HAGRID
100,YOUNG HAGRID,"No, yeh can't! Yeh don'
understand!",TOM RIDDLE
100,TOM RIDDLE,Hagrid. The dead girl's parents will be here tomorrow. The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.,YOUNG HAGRID
100,YOUNG HAGRID,"It wasn' him! Aragog never'd kill
no one! Never!",YOUNG HAGRID
100,TOM RIDDLE,"Monsters don't make good pets,
Hagrid. Now... stand aside...",YOUNG HAGRID
100,HARRY,Ron! Ron!,RON
100,RON,What? What's happened...?,HARRY
100,HARRY,It was Hagrid. Hagrid opened the Chamber of Secrets fifty years ago.,RON
102,HERMIONE,It can't be Hagrid. It just can't be.,HARRY
102,HERMIONE,It can't be Hagrid. It just can't be.,RON
102,RON,"We don't even know this Riddle. He sounds like a dirty, rotten snitch to me.",HARRY
102,RON,"We don't even know this Riddle. He sounds like a dirty, rotten snitch to me.",HERMIONE
102,HARRY,"The monster had killed someone, Ron. What would any of us done?",RON
102,HARRY,"The monster had killed someone, Ron. What would any of us done?",HERMIONE
102,HERMIONE,Look. Hagrid's our friend. Why don't we just go ask him about it?,HARRY
102,HERMIONE,Look. Hagrid's our friend. Why don't we just go ask him about it?,RON
102,RON,"That'd be a cheerful visit. Hullo, Hagrid. Tell us, have you been setting anything mad and hairy loose in the castle lately?",HAGRID
102,HAGRID,"Mad an' hairy? Wouldn' be talkin'
'bou me, now would yeh?","HARRY
"
102,HAGRID,"Mad an' hairy? Wouldn' be talkin'
'bou me, now would yeh?",Ron
102,HAGRID,"Mad an' hairy? Wouldn' be talkin'
'bou me, now would yeh?",Hermione
102,HARRY,No!,HAGRID
102,RON,No!,HAGRID
102,HERMIONE,No!,HAGRID
102,HARRY,"What's that you've got, Hagrid?",HAGRID
102,HAGRID,"Flesh-Eatin' Slug Repellent. Fer the Mandrakes, yeh know.
Accordin' ter Professor Sprout, they still got a bit o' growin' up ter do, but once their acne clears up, we'll be able to chop 'em up, stew 'em, an' get those people in the hospital un-Petrified. 'Til then, you three best watch yerselves, all righ'?",HARRY
102,HAGRID,"Flesh-Eatin' Slug Repellent. Fer the Mandrakes, yeh know.
Accordin' ter Professor Sprout, they still got a bit o' growin' up ter do, but once their acne clears up, we'll be able to chop 'em up, stew 'em, an' get those people in the hospital un-Petrified. 'Til then, you three best watch yerselves, all righ'?",RON
102,HAGRID,"Flesh-Eatin' Slug Repellent. Fer the Mandrakes, yeh know.
Accordin' ter Professor Sprout, they still got a bit o' growin' up ter do, but once their acne clears up, we'll be able to chop 'em up, stew 'em, an' get those people in the hospital un-Petrified. 'Til then, you three best watch yerselves, all righ'?",Hermione
102,HAGRID,"Flesh-Eatin' Slug Repellent. Fer the Mandrakes, yeh know.
Accordin' ter Professor Sprout, they still got a bit o' growin' up ter do, but once their acne clears up, we'll be able to chop 'em up, stew 'em, an' get those people in the hospital un-Petrified. 'Til then, you three best watch yerselves, all righ'?",RON
102,HAGRID,"Flesh-Eatin' Slug Repellent. Fer the Mandrakes, yeh know.
Accordin' ter Professor Sprout, they still got a bit o' growin' up ter do, but once their acne clears up, we'll be able to chop 'em up, stew 'em, an' get those people in the hospital un-Petrified. 'Til then, you three best watch yerselves, all righ'?",HERMIONE
102,NEVILLE,"Harry, I don't know who did it, but... you'd better come.",HARRY
104,HERMIONE,"It had to be a Gryffindor. Nobody else knows our password. Unless, it wasn't a student...",HARRY
104,HERMIONE,"It had to be a Gryffindor. Nobody else knows our password. Unless, it wasn't a student...",RON
104,RON,"Well, whoever it was, they were looking for something.",HARRY
104,RON,"Well, whoever it was, they were looking for something.",HERMIONE
104,HARRY,And they found it... Tom Riddle's diary is gone.,RON
104,HARRY,And they found it... Tom Riddle's diary is gone.,HERMIONE
105,RON,"Hey, Ginny! Going to the match?",GINNY
105,RON,"I tell you, she gets weirder and weirder by the day...",RON
105,RON,No... don't tell me...,HARRY
105,RON,No... don't tell me...,HERMIONE
105,HERMIONE,Harry... I think I've just understood something! I've got to go to the library!,HARRY
105,HARRY,What do you understand!,HERMIONE
105,HARRY,The library?,RON
105,RON,"That's Hermione. When in doubt, go to the library",HARRY
106,WOOD,"Listen up now. We play our game, Hufflepuff doesn't stand a chance. We're stronger, quicker, smarter.",GEORGE
106,GEORGE,Not to mention they're dead terrified Harry'll Petrify them if they fly anywhere near him.,WOOD
106,WOOD,"That, too.",GEORGE
106,WOOD,Professor McGonagall,McGONAGALL
106,McGONAGALL,This match has been cancelled.,WOOD
106,WOOD,Cancelled! They can't cancel Quidditch --,McGONAGALL
106,McGONAGALL,"Silence, Wood! You will return to Gryffindor Tower now. Potter, you
and I will find Mr. Weasley. There's something the both of you need to see.",HARRY
106,McGONAGALL,"Silence, Wood! You will return to Gryffindor Tower now. Potter, you
and I will find Mr. Weasley. There's something the both of you need to see.",WOOD
107,RON,Hermione!,HERMIONE
107,McGONAGALL,"She was found near the library.
Along with this. Does it mean
anything to either of you?",HARRY
107,McGONAGALL,"She was found near the library.
Along with this. Does it mean
anything to either of you?",RON
108,McGONAGALL,All students will return to their house common rooms by six o'clock in the evening. You will be escorted to each lesson by a teacher. No exceptions.,EVERYONE
108,McGONAGALL,"I should tell you all this. Unless the culprit behind these attacks is caught, it is likely that the school will be closed",EVERYONE
108,NEVILLE,"Haven't any of the teachers noticed that the Slytherins are all safe? Isn't it obvious all this stuff's coming from Slytherin? The Heir of Slytherin, the monster of Slytherin -- why don't they just chuck all the Slytherins out?",McGONAGALL
108,SEAMUS,They can't close Hogwarts. would we all go?,McGONAGALL
108,DEAN THOMAS,"I don't care what anyone says. As long as Dumbledore's here,
Hogwarts will be here.",McGONAGALL
108,HARRY,"We've got to talk to Hagrid, Ron. I can't believe it's him. But if he did set the monster loose last time -- even by accident -- he'll know how to get inside the Chamber of Secrets. And that's a start.",RON
108,RON,But you heard McGonagall. We're not allowed to leave the tower except for class --,HARRY
108,HARRY,I think it's time to get my Dad's old Cloak out again.,RON
113,HAGRID,Who's there?,HARRY
114,HARRY,What's that for?,HAGRID
114,HAGRID,"Nothin', nothin'. I've been expectin'... Doesn't matter. Sit down... I'll make tea...",HARRY
114,HARRY,Are you okay? Hagrid? Did you hear about Hermione?,HAGRID
114,HAGRID,"Oh, yea. I heard, all righ'.",HARRY
114,HARRY,Look... we have to ask you something. Do you know who's opened the Chamber of Secrets?,HAGRID
114,HAGRID,C-come in.,DUMBLEDORE
114,DUMBLEDORE,"Good evening, Hagrid.",HAGRID
114,RON,"That's Dad's boss! Cornelius
Fudge. The Minister of Magic!",HARRY
114,FUDGE,"Bad business, Hagrid. Very bad business. Had to come. Four attacks on Muggle-borns. Things've gone far enough. Ministry's got to act.",HAGRID
114,HAGRID,"I never... You know I never, Professor Dumbledore, sir...",FUDGE
114,HAGRID,"I never... You know I never, Professor Dumbledore, sir...",DUMBLEDORE
114,DUMBLEDORE,"I want it understood, Cornelius, that Hagrid has my full confidence.",HAGRID
114,DUMBLEDORE,"I want it understood, Cornelius, that Hagrid has my full confidence.",FUDGE
114,FUDGE,"Look, Albus, Hagrid's record's against him. I've got to take him.",HAGRID
114,FUDGE,"Look, Albus, Hagrid's record's against him. I've got to take him.",DUMBLEDORE
114,HAGRID,Take me? Where? Not Azkaban prison.,FUDGE
114,HAGRID,Take me? Where? Not Azkaban prison.,DUMBLEDORE
114,FUDGE,"For a short stretch only. Not a punishment, Hagrid. More a precaution. If someone else is caught, you'll be released with a full apology.",HAGRID
114,FUDGE,"For a short stretch only. Not a punishment, Hagrid. More a precaution. If someone else is caught, you'll be released with a full apology.",DUMBLEDORE
114,LUCIUS MALFOY,"Already here, Fudge? Good, good...",FUDGE
114,HAGRID,What're you doin' here! Get outta my house!,LUCIUS MALFOY
114,LUCIUS MALFOY,"My dear man, please believe me, I have no pleasure at all in being inside your -- do you call this a house? I simply called at the school and was told the Headmaster was here",DUMBLEDORE
114,DUMBLEDORE,"And what exactly did you want with me, Lucius?",LUCIUS MALFOY
114,LUCIUS MALFOY,"Dreadful thing, Dumbledore, but the governors feel it's time for you to step aside. This is an Order of Suspension. You'll find all twelve signatures on it. I'm afraid we feel you're losing your touch. What with all these attacks, there'll be no Muggle- borns left at Hogwarts. And we all know what an awful loss that would be.",DUMBLEDORE
114,FUDGE,"Now, see here, Lucius. Dumbledore suspended. No, no... last thing
we want right now... If Dumbledore can't stop these attacks... I mean to say, who can?",LUCIUS MALFOY
114,LUCIUS MALFOY,"That remains to be seen, but as all twelve governors have voted --",FUDGE
114,HAGRID,"An' how many did yeh have ter
threaten before they agreed!",LUCIUS MALFOY
114,LUCIUS MALFOY,I would advise you not to shout at the Azkaban guards like that.,HAGRID
114,HAGRID,Yeh can take Dumbledore! Take him away an' the Muggle-borns won' stand a chance! There'll be killin's next!,DUMBLEDORE
114,DUMBLEDORE,"Calm yourself, Hagrid!",HAGRID
114,DUMBLEDORE,"If the governors want my removal, Lucius, I shall of course step aside. However... you will find that I will only truly have left this school when none here are loyal to me. You will also find that help will always be given at Hogwarts to those who... ask for it.",HAGRID
114,LUCIUS MALFOY,"Admirable sentiments. We shall all miss your highly individual way of running things, Albus, and only hope your successor will manage to prevent any more, um, killin's.",DUMBLEDORE
114,HAGRID,"If anyone wanted ter find out some stuff, all they'd have ter do is
follow the spiders. That'd lead
'em right! Tha's all I'm sayin'.",FUDGE
114,RON,"Hagrid's right. With Dumbledore gone, there'll be an attack a day.",HARRY
114,HARRY,Look...,RON
114,HARRY,C'mon.,RON
119,RON,What are you doing?,HARRY
119,HARRY,You heard Hagrid. Follow the spiders.,RON
119,RON,They're heading into the Dark Forest.,HARRY
119,RON,Why spiders. Why couldn't it be 'Follow the butterflies'?,HARRY
121,HARRY,"There's something moving over
there... something big.",RON
121,RON,"Harry!... Harry, it's our car!",HARRY
121,HARRY,It's been here all the time! Look at it. The Forest has turned it wild.,RON
121,HARRY,"C'mon, we don't want to lose the trail.",RON
121,RON,"I don't have a good feeling about this, Harry --",HARRY
121,HARRY,Don't panic.,RON
121,ARAGOG,You do not come from the forest. Your hearts beat like... men.,HARRY
121,HARRY,"Yes. We're friends of Hagrid's.
And you... you're...",ARAGOG
121,HARRY,"... Aragog, aren't you?",ARAGOG
121,ARAGOG,Hagrid has never sent men into our hollow before.,HARRY
121,HARRY,"He's in trouble. Up at school, there've been attacks. They think it's Hagrid. They think he's opened the Chamber of Secrets. Like before.",ARAGOG
121,ARAGOG,That's a lie! Hagrid never opend the Chamber of Secrets!,HARRY
121,HARRY,But if Hagrid never... that means... you're not the monster.,ARAGOG
121,ARAGOG,"The monster was born in the castle. I came from a distant land, in the pocket of a traveler.",HARRY
121,RON,Harry...,HARRY
121,HARRY,Shhh!,RON
121,HARRY,"But if you're not the monster, what did kill that girl fifty years ago?",ARAGOG
121,ARAGOG,We do not speak of it! It is an ancient creature we spiders fear above all others.,HARRY
121,HARRY,But have you seen it?,ARAGOG
121,ARAGOG,"I never saw any part of the castle but the cupboard in which Hagrid kept me. The girl was discovered in a bathroom. When I was
accused, Hagrid brought me here.",HARRY
121,HARRY,What!,ARAGOG
121,HARRY,Well... thank you. We'll just go...,ARAGOG
121,ARAGOG,"Go? I think not. My sons and daughters do not harm Hagrid, on my command. But I cannot deny
them fresh meat when it wanders so willingly into our midst.
Goodbye, friend of Hagrid.",HARRY
121,RON,Can we panic now?,HARRY
121,RON,Nice knowing you.,ARAGOG
121,HARRY,Let's go!,RON
121,HARRY,THE WINDOWS!   ROLL UP THE WINDOWS!,RON
121,RON,I CAN'T! IT'S STUCK!,HARRY
121,RON,Thanks for that.,RON
121,HARRY,Don't mention it.,RON
121,HARRY,That way! It's the only way out!,RON
121,HARRY,Can you get us in the air?,RON
121,RON,Flying gear's jammed!,HARRY
121,RON,"Follow the spiders'! Follow the spiders'! If he ever gets out of Azkaban, I'll kill Hagrid. I mean, what was the point of sending us in there? What have we found out?",HARRY
121,HARRY,We know one thing. Hagrid never opened the Chamber of Secrets. He was innocent.,RON
123,MADAM POMFREY,There's no point in talking to a petrified person. She won't hear a word you're saying.,RON
123,RON,"We know that, Madam Pomfrey. It's just, well, you see, we thought, maybe, we could... be with her for a bit. She's our... friend, you see, and... even if she can't hear us... I mean, it can't hurt, can it?",MADAM POMFREY
123,MADAM POMFREY,"Very well then. But be quick
about it.",RON
123,RON,"  You don't think Lockhart could be
             the heir of Slytherin, do you?",HARRY
123,RON,Right. Forget I said it.,HARRY
123,HARRY,"Wish you were here, Hermione. We
need you. Now more than ever...",HERMIONE
124,HARRY,"Of the many fearsome beasts that roam our land, none is more deadly than the Basilisk. Capable of living for hundreds of years, instant death awaits any who meet this giant serpent's eye. Spiders flee before it and only the crowing of the rooster can kill it.'",RON
124,HARRY," Ron! This is it! The monster in
the Chamber of Secrets is a Basilisk. That's why I can hear it speak. It's a snake.
",RON
124,RON,"But it kills by looking people in
the eye. Why is it no one's dead?",HARRY
124,HARRY,Because no one did look it in the eye. Not directly at least...,RON
124,HARRY,"Colin saw it through his camera.
Justin -- Justin must've seen the Basilisk through Nearly Headless Nick! Nick got the full blast of it, but he's a ghost -- he couldn't die again...",RON
124,HARRY,"... And Hermione... had the mirror! I bet you anything she was using it to look round corners, in case it came along.",RON
124,RON,"And Mrs. Norris? I'm pretty sure she didn't have a camera or a mirror, Harry.",HARRY
124,HARRY,The water... there was water on the floor that night. She only saw the Basilisk's reflection...,RON
124,HARRY,The crowing of the rooster is Fatal to it! That's why Hagrid's roosters were killed! Spiders Flee before it! It all fits!,RON
124,RON,But how's the Basilisk been getting around? A dirty great snake. Someone would have seen...,HARRY
124,HARRY,Hermione answered that too.,RON
124,RON,"Pipes...? It's using the
plumbing.",HARRY
124,HARRY,Remember what Aragog said? About that girl fifty years ago? She died in a bathroom. What if she never left.,RON
124,RON,Moaning Myrtle!,HARRY
124,McGONAGALL,All students are to return to their house dormitories at once. All teachers to the second floor corridor. Immediately.,EVERYONE
125,McGONAGALL,"As you can see, the Heir of
Slytherin has left another message. Our worst fear has been realized. A student has been taken by the monster. Into the Chamber itself.",EVERYONE
125,McGONAGALL,I'm afraid we shall have to send the students home. I'm afraid... this is the end of Hogwarts.,EVERYONE
125,GILDEROY LOCKHART,"So sorry. Dozed off. What have I
missed?",SNAPE
125,SNAPE,"Just the man. A girl has been snatched by the monster, Lockhart. Your moment has come at last.",GILDEROY LOCKHART
125,GILDEROY LOCKHART,My m-moment?,SNAPE
125,SNAPE,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?,GILDEROY LOCKHART
125,GILDEROY LOCKHART,D-did I? I don't recall..,SNAPE
125,McGONAGALL,"That settles it. We'll leave it to you to deal with the monster, Gilderoy. Your skills, after all, are legend",GILDEROY LOCKHART
125,GILDEROY LOCKHART,"V-very well. I'll -- I'll be in my office, getting -- getting ready.",McGONAGALL
125,McGONAGALL,"The rest of us should go and
inform the students what has
happened.",EVERYONE
125,PROFESSOR SPROUT,"Who is it the monster's taken,
Minerva?",McGONAGALL
125,McGONAGALL,Ginny Weasley.,PROFESSOR SPROUT
126,RON,"She knew something, Harry. She'd found out something about the Chamber of Secrets. That's why she was taken. I mean, she was -- is -- a pure-blood. There can't be any other reason.",HARRY
126,HARRY,"C'mon. Let's go see Lockhart. He may be a brainless git, but he's
going to try and get into the Chamber. We can tell him what we know...",RON
126,RON,"Harry. D'you think there's any chance at all she's not, you know --",HARRY
126,HARRY,"We'll find her, Ron. Ginny's going to be fine.
",RON
128,HARRY," Professor, we've got some
information for you --",GILDEROY LOCKHART
128,HARRY,Are you going somewhere?,GILDEROY LOCKHART
128,GILDEROY LOCKHART,"Um, well, yes. Urgent call. Unavoidable. Got to go...",HARRY
128,RON,What about my sister?,GILDEROY LOCKHART
128,GILDEROY LOCKHART,"Well, as to that -- most unfortunate. No one regrets more than I --",RON
128,RON,"You're the Defense Against the
Dark Arts teacher! You can't go
now!",GILDEROY LOCKHART
128,GILDEROY LOCKHART,"I must say, when I took the job, nothing in the job description --",RON
128,HARRY,"You're running away? After all
that stuff you did in your books?
",GILDEROY LOCKHART
128,GILDEROY LOCKHART,Books can be misleading.,HARRY
128,HARRY,You wrote them!,GILDEROY LOCKHART
128,GILDEROY LOCKHART,"My dear boy, do use your common sense. My books wouldn't have
sold half as well if people didn't think I'd done all those things. No one wants to read about some ugly old Armenian warlock, even if he did save a village from werewolves. He'd look dreadful on the front cover. No dress sense
at all...",HARRY
128,HARRY,You're a fraud! You've just been taking credit for what a load of other wizards have done!,GILDEROY LOCKHART
128,GILDEROY LOCKHART,"Harry, Harry, Harry. There was work involved. I had to track these people down and ask them exactly how they managed to do what they did. No, it's not all book signings and publicity photos. You want fame, you have to be prepared for a long, hard slog.",HARRY
128,RON,Is there anything you can do?,GILDEROY LOCKHART
128,GILDEROY LOCKHART,"Yes, now that you mention it. I'm rather gifted with Memory Charms. Otherwise, you see, all those wizards would've gone blabbing and I'd never have sold another book. I'm afraid I'll have to do the same to you both, lest you do the same.",RON
128,HARRY,Expelliarmus!,GILDEROY LOCKHART
128,HARRY,"Looks like those Dueling Lessons came in handy after all, Professor.",GILDEROY LOCKHART
130,MOANING MYRTLE,Who's there? Oh...,HARRY
130,MOANING MYRTLE,"Hello, Harry. What do you want?",HARRY
130,HARRY,To ask you how you died.,MOANING MYRTLE
130,MOANING MYRTLE,"Oooooh, it was dreadful. It
happened right here. In this very cubicle. I'd hidden because Olive Hornby was teasing me about my glasses. I was crying, and then I heard somebody come in.",HARRY
130,HARRY,"Who was it, Myrtle?",MOANING MYRTLE
130,MOANING MYRTLE,"I don't know! I was distraught! But they said something funny. A kind of made-up language. And I realized it was a boy speaking. So I unlocked the door, to tell him to go away, and... I died.",HARRY
130,HARRY,Just like that? How?,MOANING MYRTLE
130,MOANING MYRTLE,No idea. I just remember seeing a pair of great big yellow eyes. Over there...,HARRY
130,HARRY,"This is it, Ron. This is the entrance to the Chamber of Secrets.",RON
130,RON,"Say something, Harry. Say
something in Parseltongue.",HARRY
130,HARRY,Open up.,RON
130,RON,English.,HARRY
130,GILDEROY LOCKHART,"Excellent, Harry. Good work. Well then. I'll just be going. There's no need for me...",HARRY
130,HARRY,"Oh, yes there is. You first.",GILDEROY LOCKHART
130,GILDEROY LOCKHART,"Now, boys. What good will it do?",HARRY
130,GILDEROY LOCKHART,"Now, boys. What good will it do?",RON
130,RON,A bloody lot of good if it's a two-hundred-foot drop onto jagged rocks.,GILDEROY LOCKHART
130,GILDEROY LOCKHART,It's really quite filthy down here.,HARDY
130,HARRY,All right. Let's go.,MOANING MYRTLE
130,MOANING MYRTLE,"Oh, Harry... if you die down there, you're welcome to share my toilet.",HARRY
130,HARRY,"Thanks, Myrtle.",MOANING MYRTLE
132,HARRY,Lumos!,GILDEROY LOCKHART
132,HARRY,"Remember. Any sign of movement,
close your eyes straight away.",GILDEROY LOCKHART
132,RON,What's that?   Up ahead?,GILDEROY LOCKHART
132,GILDEROY LOCKHART,That looks like a... snake.,HARRY
132,HARRY,Maybe it's asleep.,GILDEROY LOCKHART
132,RON,Bloody hell. Whatever shed this must be twenty feet long. Or more.,HARRY
132,RON,"Heart of a lion, this one.",HARRY
132,GILDEROY LOCKHART,"The adventure ends here, boys! But don't fret. The world will know our story. How I was too late to save the girl. How you two tragically lost your minds at the sight of her mangled body. I'll even bind a limited edition in this snake skin. Say goodbye to your memories.",HARRY
132,GILDEROY LOCKHART,"The adventure ends here, boys! But don't fret. The world will know our story. How I was too late to save the girl. How you two tragically lost your minds at the sight of her mangled body. I'll even bind a limited edition in this snake skin. Say goodbye to your memories.",RON
132,GILDEROY LOCKHART,Obliviate!,HARRY
132,GILDEROY LOCKHART,Obliviate!,RON
132,HARRY,Ron?   Are you okay?,RON
132,RON,"I'm okay. This git's not, though. He got blasted by my wand.",HARRY
132,RON,What now?,HARRY
132,HARRY,Wait here. I'll go on. I'll go on and... find Ginny. If I'm not back in an hour...,RON
132,RON,"I'll try and shift some of this rock. So you can get back through. And, Harry --",HARRY
132,HARRY,See you in a bit.,RON
132,HARRY,Open.,RON
133,HARRY,"Ginny! Please don't be dead. Wake up! Wake up!
Ginny!",GINNY
133,TOM RIDDLE,She won't wake.,HARRY
133,HARRY,"Tom... Tom Riddle? What d'you mean, she won't wake? She's not...",TOM RIDDLE
133,TOM RIDDLE,She's still alive. But only just.,HARRY
133,HARRY,Are you a ghost?,TOM RIDDLE
133,TOM RIDDLE,"A memory. Preserved in a diary
for fifty years.",HARRY
133,HARRY,"She's cold as ice. You've got to help me, Tom. There's a basilisk --",TOM RIDDLE
133,TOM RIDDLE,It won't come until it's called.,HARRY
133,HARRY,"Give me my wand, Tom.",TOM RIDDLE
133,TOM RIDDLE,You won't be needing it.,HARRY
133,HARRY,"Listen, we've got to go!
got to save her!",TOM RIDDLE
133,TOM RIDDLE,"I'm afraid I can't do that, Harry. You see, as poor Ginny grows weaker... I grow stronger.",HARRY
133,HARRY,But she's dying!,TOM RIDDLE
133,TOM RIDDLE,"Yes. I'm afraid so. But then, she's been in so much pain, poor Ginny. She's been writing to me for months, telling me all her pitiful worries and woes. Ginny poured her soul out to me. I grew stronger on a diet of her deepest fears, her darkest secrets. I grew powerful enough to start feeding Ginny a few secrets, to start pouring a bit of my soul back into her...",HARRY
133,TOM RIDDLE,"Yes, Harry, it was Ginny Weasley who opened the Chamber of Secrets.",HARRY
133,HARRY,No... she couldn't -- she wouldn't.,TOM RIDDLE
133,TOM RIDDLE,It was Ginny who set the Basilisk on the Mudbloods and the Squib's cat. Ginny who wrote threatening messages on the walls.,HARRY
133,HARRY,But... Why?...,TOM RIDDLE
133,TOM RIDDLE,"Because I told her to. You'll
find that I can be very persuasive. Not that she knew
what she was doing. She was,
shall we say, in a kind of trance. Still, the power of the diary began to scare her and she tried to dispose of it in the girls' bathroom. But then, who should find it... but you. The very person I was most anxious to meet.",HARRY
133,HARRY,And why did you want to meet me?,TOM RIDDLE
133,TOM RIDDLE,"Ginny told me all about you. I knew I had to talk to you, meet you if I could. So I decided to show you my capture of that brainless oaf, Hagrid, to gain your trust.",HARRY
133,HARRY,"Hagrid's my friend. And you framed him, didn't you?",TOM RIDDLE
133,TOM RIDDLE,It was my word against Hagrid's. Only Dumbledore seemed to think Hagrid was innocent.,HARRY
133,HARRY,I'll bet Dumbledore saw right through you.,TOM RIDDLE
133,TOM RIDDLE,"I knew it wouldn't be safe to open the Chamber again while I was still at school. So I decided to leave behind a diary, preserving my sixteen-year-old self in its pages, so that one day... I would be able to lead another to finish Salazar Slytherin's noble work.",HARRY
133,HARRY,"Well, you haven't finished it this time. In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again.",TOM RIDDLE
133,TOM RIDDLE,"Haven't I told you, that killing
Mudbloods doesn't matter to me
anymore? For many months now, my
new target has been... you.",HARRY
133,TOM RIDDLE,Imagine my disappointment when I learned Ginny had stolen the diary back from you.,HARRY
133,HARRY,Ginny stole the diary from my room? But why?,TOM RIDDLE
133,TOM RIDDLE,She was afraid. Afraid you'd learn how to work the diary. Afraid I'd tell you just who it was that had been strangling all those roosters.,HARRY
133,HARRY,"Come now, Harry. Don't look so disappointed. Had Ginny succeeded in destroying the diary, she would have destroyed me. And we
couldn't be having this little talk. And I have so many
questions for you.",TOM RIDDLE
133,TOM RIDDLE,Like what?,HARRY
